codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
Código 1304129  / Ciudadela Villa de Bosque,1200000.0,centro,ciudadela villa de bosque,ceramica,2.0,54.0,medellin zona 1 - centro,1.0,integral,0.0,3.0,3.0,54.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Código 1304089  / Santa Cruz,600000.0,centro,santa cruz,ceramica,2.0,50.0,medellin zona 1 - centro,1.0,sencilla,0.0,2.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304073  / La Candelaria,2000000.0,centro,la candelaria,ceramica,2.0,65.0,medellin zona 1 - centro,1.0,semi-integral,0.0,3.0,4.0,65.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304060  / Florencia,850000.0,centro,florencia,baldosa comun,1.0,40.0,medellin zona 1 - centro,1.0,integral,0.0,1.0,4.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304058  / La Candelaria,900000.0,centro,la candelaria,ceramica,1.0,40.0,medellin zona 1 - centro,1.0,semi-integral,0.0,1.0,4.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304052  / Castilla,1200000.0,centro,castilla,baldosa comun,2.0,65.0,medellin zona 1 - centro,1.0,integral,0.0,3.0,3.0,65.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304037  / Boston,2000000.0,centro,boston,baldosa comun,2.0,120.0,medellin zona 1 - centro,1.0,integral,1.0,3.0,3.0,120.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304031  / Prado,1400000.0,centro,prado,ceramica,1.0,55.0,medellin zona 1 - centro,1.0,integral,1.0,2.0,0.0,55.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Código 1303930  / Centro,850000.0,centro,centro,baldosa comun,1.0,60.0,medellin zona 1 - centro,1.0,semi-integral,0.0,2.0,3.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1303737  / Aranjuez,1200000.0,centro,aranjuez,baldosa comun,1.0,85.0,medellin zona 1 - centro,1.0,semi-integral,0.0,3.0,3.0,85.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1303711  / Villa Hermosa,1350000.0,centro,villa hermosa,ceramica,1.0,90.0,medellin zona 1 - centro,1.0,integral,0.0,2.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1303694  / Campo Valdes,800000.0,centro,campo valdes,ceramica,1.0,70.0,medellin zona 1 - centro,1.0,sencilla,0.0,3.0,3.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1303457  / Villa Hermosa,1000000.0,centro,villa hermosa,ceramica,1.0,70.0,medellin zona 1 - centro,1.0,semi-integral,0.0,3.0,3.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1303294  / Moravia,750000.0,centro,moravia,ceramica,1.0,65.0,medellin zona 1 - centro,1.0,semi-integral,0.0,2.0,2.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1303083  / Manrique,850000.0,centro,manrique,ceramica,1.0,60.0,medellin zona 1 - centro,1.0,integral,0.0,3.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1303079  / Centro,1500000.0,centro,centro,granito,2.0,65.0,medellin zona 1 - centro,1.0,semi-integral,1.0,3.0,4.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1303068  / Centro,1200000.0,centro,centro,granito,1.0,60.0,medellin zona 1 - centro,1.0,semi-integral,1.0,2.0,4.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
