R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,diff
0.5764713513340322,0.40741208284244046,1061814.731285379,1235884.120374535,0.4407256218078287,0.4856483898523204,3,3,3,2,80,0.1690592684915917
0.5764713513340322,0.40741208284244046,1061814.7312853793,1235884.120374535,0.4407256218078288,0.48564838985232056,3,3,3,5,80,0.1690592684915917
0.5748884912682739,0.40482151268459254,1063797.0490553344,1238582.58330393,0.4417120237667182,0.490801926879168,3,3,3,2,100,0.17006697858368136
0.5748884912682739,0.40482151268459254,1063797.0490553344,1238582.58330393,0.4417120237667181,0.490801926879168,3,3,3,5,100,0.17006697858368136
0.5748884912682739,0.40482151268459254,1063797.0490553342,1238582.58330393,0.4417120237667182,0.490801926879168,3,3,3,3,100,0.17006697858368136
0.5649216863766715,0.3944438822322799,1076195.24362238,1249333.9853196747,0.44174059569922586,0.485534303609715,3,3,3,2,60,0.17047780414439162
0.5649216863766715,0.3944438822322799,1076195.24362238,1249333.9853196747,0.44174059569922586,0.4855343036097149,3,3,3,3,60,0.17047780414439162
0.5649216863766715,0.3944438822322798,1076195.24362238,1249333.9853196747,0.44174059569922586,0.485534303609715,3,3,3,5,60,0.17047780414439173
0.5861359719323637,0.41556073244228664,1049629.8917533709,1227357.4130432103,0.43545556399102614,0.486743763897722,3,3,1,5,100,0.17057523949007702
0.5872720740769009,0.41596868526967545,1048188.227109911,1226928.9755980761,0.43305909819463684,0.4832648597863368,3,3,1,2,80,0.1713033888072254
0.5876985101880641,0.4162948058238136,1047646.5859938565,1226586.3718539113,0.43455154369002247,0.48536462307164774,3,3,1,5,80,0.17140370436425045
0.5884521932059334,0.4167529786049109,1046688.6042347137,1226104.8798098236,0.43257867605302364,0.48579756708602545,3,3,1,3,100,0.17169921460102255
0.5710087570801472,0.3990141757061162,1068640.3380489743,1244610.5277997486,0.4464645528896123,0.4974089914438705,3,3,3,2,150,0.171994581374031
0.5710087570801472,0.3990141757061161,1068640.3380489743,1244610.5277997486,0.4464645528896122,0.49740899144387046,3,3,3,3,150,0.17199458137403112
0.5710087570801474,0.3990141757061163,1068640.338048974,1244610.5277997486,0.4464645528896122,0.49740899144387046,3,3,3,5,150,0.17199458137403112
0.5457904685986272,0.37245282283249537,1099601.8751391629,1271816.7672806229,0.44956795852448156,0.4884969889169279,3,3,1,2,40,0.17333764576613186
0.5736534555901296,0.3996118323167831,1065341.202098037,1243991.515916396,0.4334523245650958,0.48484839908412003,3,3,1,2,60,0.1740416232733465
0.5491886285688459,0.37469061838855766,1095480.8275262092,1269547.1310106083,0.4490330067571391,0.4898518471222407,3,3,1,3,40,0.1744980101802882
0.5912532024778021,0.4166526131170337,1043120.6226503833,1226210.3696935198,0.4313714525729344,0.4830206081287991,3,3,1,2,100,0.1746005893607684
0.5757255237524768,0.4008934544369729,1062749.2399398822,1242663.0596990567,0.4330885897317877,0.4857516378876619,3,3,1,3,60,0.17483206931550388
0.58140050593552,0.40630301621911236,1055617.7874300745,1237040.0982977482,0.437971538463281,0.49157414957896,3,3,1,3,150,0.1750974897164076
0.5801386119336509,0.4046452921467628,1057207.7025826005,1238765.9295942718,0.4414747688664769,0.49320441396809095,3,3,1,5,150,0.1754933197868881
0.5853345130905041,0.4096394735649487,1050645.7184810296,1233559.24301305,0.4358853784160385,0.4881894739911587,3,3,1,2,150,0.17569503952555543
