,codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
43,Código 1292094  / san antonio de prado,"EN ARRIENDO $1,150,000",Apartamento en Arriendo san antonio de prado San Antonio de Prado,san antonio de prado,Ceramica,1,48 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (comunes),,3,3,48 M2.,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0
44,Código 1291162  / EL VERGEL,"EN ARRIENDO $950,000",Apartamento en Arriendo EL VERGEL San Antonio de Prado,EL VERGEL,Ceramica,1,45 M2. aproximadamente,San Antonio de Prado,8,Semi-Integral,0 (COMUNES),,2,3,50 M2.,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
45,Código 1290650  / EL VERGEL,"EN ARRIENDO $1,100,000",Apartamento en Arriendo EL VERGEL San Antonio de Prado,EL VERGEL,Ceramica,1,45 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,2,3,45 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0
46,Código 1290369  / BARICHARA,"EN ARRIENDO $1,100,000",Apartamento en Arriendo BARICHARA San Antonio de Prado,BARICHARA,Ceramica,1,46 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,2,3,46 M2.,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
47,Código 1290346  / BARICHARA,"EN ARRIENDO $1,100,000",Apartamento en Arriendo BARICHARA San Antonio de Prado,BARICHARA,Ceramica,1,46 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,3,46 M2.,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
48,Código 1290167  / el vergel,"EN ARRIENDO $1,100,000",Apartamento en Arriendo el vergel San Antonio de Prado,el vergel,Ceramica,1,60 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,3,3,60 M2.,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
49,Código 1289058  / BARICHARA,"EN ARRIENDO $1,100,000",Apartamento en Arriendo BARICHARA  San Antonio de Prado,BARICHARA,Ceramica,1,46 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,2,3,46 M2.,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
50,Código 1288747  / Barichara,"EN ARRIENDO $1,050,000",Apartamento en Arriendo Barichara San Antonio de Prado,Barichara,Ceramica,1,48 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,3,3,48 M2.,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
51,Código 1287919  / el vergel,"EN ARRIENDO $1,000,000",Apartamento en Arriendo el vergel San Antonio de Prado,el vergel,Porcelanato,1,40 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,0,40 M2.,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
52,Código 1287624  / san antonio de prado,"EN ARRIENDO $950,000",Apartamento en Arriendo san antonio de prado San Antonio de Prado,san antonio de prado,Ceramica,1,40 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (paequeaderos comunes),,2,0,40 M2.,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
53,Código 1286802  / san antonio de prado,"EN ARRIENDO $950,000",Apartamento en Arriendo san antonio de prado San Antonio de Prado,san antonio de prado,Ceramica,1,40 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (son comunes),,2,0,40 M2.,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0
54,Código 1286614  / san antonio de prado,"EN ARRIENDO $1,200,000",Apartamento en Arriendo san antonio de prado San Antonio de Prado,san antonio de prado,Ceramica,1,47 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (parqueadero comunes),,3,0,47 M2.,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0
55,Código 1286418  / san antonio de prado,"EN ARRIENDO $950,000",Apartamento en Arriendo san antonio de prado San Antonio de Prado,san antonio de prado,Ceramica,1,40 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (comunes),,2,3,40 M2.,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
56,Código 1285461  / San Antonio de Prado,"EN ARRIENDO $1,100,000",Apartamento en Arriendo San Antonio de Prado San Antonio de Prado,San Antonio de Prado,Porcelanato,2,55 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,0,55 M2.,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0
57,Código 1283613  / San Antonio de Prado,"EN ARRIENDO $900,000",Apartamento en Arriendo San Antonio de Prado San Antonio de Prado,San Antonio de Prado,Porcelanato,1,42 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,1,3,42 M2.,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
58,Código 1282164  / SAN ANTONIO DE PRADO,"EN ARRIENDO $1,000,000",Apartamento en Arriendo SAN ANTONIO DE PRADO San Antonio de Prado,SAN ANTONIO DE PRADO,Ceramica,1,40 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (COMUNES),,2,0,40 M2.,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
59,Código 1280987  / BARICHARA,"EN ARRIENDO $1,000,000",Apartamento en Arriendo BARICHARA San Antonio de Prado,BARICHARA,Ceramica,1,50 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,1,3,50 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Código 1280902  / BARICHARA,"EN ARRIENDO $950,000",Apartamento en Arriendo BARICHARA  San Antonio de Prado,BARICHARA,Ceramica,1,50 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,2,3,50 M2.,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
61,Código 1279405  / BARICHARA,"EN ARRIENDO $900,000",Apartamento en Arriendo BARICHARA San Antonio de Prado,BARICHARA,Ceramica,1,50 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,2,3,50 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Código 1279141  / San Antonio De Prado,"EN ARRIENDO $1,300,000",Apartamento en Arriendo San Antonio De Prado San Antonio de Prado,San Antonio De Prado,Ceramica,1,42 M2. aproximadamente,San Antonio de Prado,1,Integralabierta con mesón en acero inoxidable,0 (),,"3
                                    3 closet",3,42 M2.,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0
63,Código 1278995  / Prados del este,"EN ARRIENDO $950,000",Apartamento en Arriendo Prados del este San Antonio de Prado,Prados del este,Ceramica,1,50 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,3,50 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Código 1277594  / Villa Loma,"EN ARRIENDO $950,000",Apartamento en Arriendo Villa Loma San Antonio de Prado,Villa Loma,Ceramica,1,60 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,2,3,60 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
65,Código 1275998  / El limonar,"EN ARRIENDO $1,200,000",Apartamento en Arriendo El limonar San Antonio de Prado,El limonar,Ceramica,2,52 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (Comunes),,2,3,52 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0
66,Código 1275394  / barichara,"EN ARRIENDO $900,000",Apartamento en Arriendo barichara San Antonio de Prado,barichara,Ceramica,1,55 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,1,2,55 M2.,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
67,Código 1275161  / Ciudadela Villa del Bosque,"EN ARRIENDO $1,100,000",Apartamento en Arriendo Ciudadela Villa del Bosque San Antonio de Prado,Ciudadela Villa del Bosque,Ceramica,1,50 M2. aproximadamente,San Antonio de Prado,1,Integral,1 (),,2,3,50 M2.,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0
