codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
Código 1314579  / Centro,"EN ARRIENDO $2,200,000",Apartamento en Arriendo Centro Medellin ,Centro,Ceramica,2,68 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,1 (),,3,0,68 M2.,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0
Código 1314479  / Buenos Aires,"EN ARRIENDO $1,200,000",Apartamento en Arriendo Buenos Aires Medellin ,Buenos Aires,Ceramica,1,58 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,2,3,58 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1314241  / Castilla,"EN ARRIENDO $800,000",Apartamento en Arriendo Castilla Medellin ,Castilla,Ceramica,1,52 M2. aproximadamente,Medellin Zona 1 - Centro,2,Semi-Integral,0 (),,2,0,52 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1313867  / Villa Hermosa,"EN ARRIENDO $680,000",Apartamento en Arriendo Villa Hermosa Medellin ,Villa Hermosa,Baldosa comun,1,40 M2. aproximadamente,Medellin Zona 1 - Centro,1,Sencilla,0 (),,2,3,40 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1313621  / El Salvador,"EN ARRIENDO $1,300,000",Apartamento en Arriendo El Salvador Medellin ,El Salvador,Ceramica,1,95 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),,4,2,95 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Código 1313265  / Castilla,"EN ARRIENDO $150,000,000",Apartamento en Arriendo Castilla Medellin ,Castilla,Ceramica,"1
                                    CABINADO",52 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,"2
                                    CON CLOSET",3,52 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1312827  / Castilla,"EN ARRIENDO $1,300,000",Apartamento en Arriendo Castilla Medellin ,Castilla,Ceramica,1,75 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,3,3,75 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Código 1312797  / Castilla,"EN ARRIENDO $1,600,000",Apartamento en Arriendo Castilla Medellin ,Castilla,Baldosa comun,1,75 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,3,3,75 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Código 1312669  / Campo Valdes,"EN ARRIENDO $700,000",Apartamento en Arriendo Campo Valdes Medellin ,Campo Valdes,Baldosa comun,1,48 M2. aproximadamente,Medellin Zona 1 - Centro,1,SencillaCON GABINETES,0 (),,2,3,48 M2.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1312650  / Campo Valdes,"EN ARRIENDO $1,600,000",Apartamento en Arriendo Campo Valdes Medellin ,Campo Valdes,Ceramica,1,110 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),,5,3,110 M2.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1312593  / Manrique,"EN ARRIENDO $750,000",Apartamento en Arriendo Manrique Medellin ,Manrique,Ceramica,1,64 M2. aproximadamente,Medellin Zona 1 - Centro,1,Sencilla,0 (),,2,3,64 M2.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1311487  / Florencia,"EN ARRIENDO $800,000",Apartamento en Arriendo Florencia Medellin ,Florencia,Ceramica,1,38 M2. aproximadamente,Medellin Zona 1 - Centro,2,Sencilla,0 (),,2,0,38 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1311435  / Castilla,"EN ARRIENDO $1,600,000",Apartamento en Arriendo Castilla Medellin ,Castilla,Baldosa comun,1,75 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,3,3,75 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
