,codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
1357,Código 1097548  / Transv. Superior,"EN ARRIENDO $2,300,000",Apartamento en Arriendo Transv. Superior El Poblado,Transv. Superior,Ceramica,2,82 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 + cuarto útil ( 1),,2,6,82 M2.,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
1358,Código 1096809  / Alejandria,"EN ARRIENDO $4,300,000",Apartamento en Arriendo Alejandria Medellin ,Alejandria,Porcelanato,2,74 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 (),,2,6,74 M2.,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
1359,Código 1096723  / Los Balsos,"EN ARRIENDO $27,005,800",Apartamento en Arriendo Los Balsos Medellin Zona 2 - El Poblado,Los Balsos,Ceramica,1,229 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,0 (),,1,6,229 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360,Código 1096436  / El Campestre,"EN ARRIENDO $11,300,000",Apartamento en Arriendo El Campestre Medellin ,El Campestre,Porcelanato,4 + Baño de servicio,274 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3 + Alcoba de servicio,6,274 M2.,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
1361,Código 1095395  / El Tesoro,"EN ARRIENDO $3,500,000",Apartamento en Arriendo El Tesoro Medellin ,El Tesoro,Ceramica,3,147 M2. aproximadamente,Medellin Zona 2 - El Poblado,2,Integral,0 (),,2,6,147 M2.,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0
1362,Código 1095385  / El Campestre,"EN ARRIENDO $7,500,000",Apartamento en Arriendo El Campestre Medellin ,El Campestre,Porcelanato,4 + Baño de servicio,187 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3 + Alcoba de servicio,6,187 M2.,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
1363,Código 1090876  / Los Balsos,"EN ARRIENDO $4,600,000",Apartamento en Arriendo Los Balsos Medellin ,Los Balsos,Madera,2,95 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,2,6,95 M2.,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0
1364,Código 1090868  / Los Balsos,"EN ARRIENDO $4,020,000",Apartamento en Arriendo Los Balsos Medellin Zona 2 - El Poblado,Los Balsos,Ceramica,1,35 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,0 (),,1,6,35 M2.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,Código 1090833  / Santa Ma. los Angeles,"EN ARRIENDO $4,200,000",Apartamento en Arriendo Santa Ma. los Angeles Medellin ,Santa Ma. los Angeles,Ceramica,4 + Baño de servicio,147 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,2 + Alcoba de servicio,6,147 M2.,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
1366,Código 1090830  / Oviedo,"EN ARRIENDO $3,950,000",Apartamento en Arriendo Oviedo Medellin ,Oviedo,Ceramica,2 + Baño de servicio,92 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 (),,3 + Alcoba de servicio,5,92 M2.,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
