codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
Código 1295447  / Fatima,"EN ARRIENDO $2,800,000",Apartamento en Arriendo Fatima Medellin ,Fatima,Baldosa comun,3,130 M2. aproximadamente,Medellin Zona 4 - Belen,1,Semi-Integral,0 (),,4,4,130 M2.,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1294921  / Santa Fé,"EN ARRIENDO $3,800,000",Apartamento en Arriendo Santa Fé Medellin ,Santa Fé,Ceramica,2,65 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,3,4,65 M2.,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0
Código 1294837  / Belén Las Mercedes,"EN ARRIENDO $990,000",Apartamento en Arriendo Belén Las Mercedes Medellin ,Belén Las Mercedes,Ceramica,1,30 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,1,3,30 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Código 1294823  / Belén San Bernardo,"EN ARRIENDO $1,700,000",Apartamento en Arriendo Belén San Bernardo Medellin ,Belén San Bernardo,Porcelanato,1,60 M2. aproximadamente,Medellin Zona 4 - Belen,1,Sencilla,0 (),,1,3,60 M2.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1294793  / Loma de los Bernal,"EN ARRIENDO $4,800,000",Apartamento en Arriendo Loma de los Bernal Medellin ,Loma de los Bernal,Ceramica,2,75 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 (),,2,5,75 M2.,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0
Código 1294740  / Guayabal,"EN ARRIENDO $2,500,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Porcelanato,2,45 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,1,5,45 M2.,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0
Código 1294487  / Alameda,"EN ARRIENDO $3,200,000",Apartamento en Arriendo Alameda Medellin ,Alameda,Ceramica,4,185 M2. aproximadamente,Medellin Zona 4 - Belen,1,Semi-Integral,0 (),,4,3,185 M2.,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Código 1294203  / Belén La Palma,"EN ARRIENDO $3,150,000",Apartamento en Arriendo Belén La Palma Medellin ,Belén La Palma,Ceramica,2,100 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 (),,2,5,100 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Código 1293393  / Guayabal,"EN ARRIENDO $2,800,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Ceramica,2,48 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,2,5,48 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Código 1293204  / Guayabal,"EN ARRIENDO $3,200,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Ceramica,2,68 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,2,5,68 M2.,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Código 1293126  / Guayabal,"EN ARRIENDO $2,800,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Ceramica,2,48 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,2,5,48 M2.,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Código 1293052  / Campo Amor,"EN ARRIENDO $1,400,000",Apartamento en Arriendo Campo Amor Medellin ,Campo Amor,Ceramica,1,45 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,1,4,45 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1292898  / Rosales,"EN ARRIENDO $1,700,000",Apartamento en Arriendo Rosales Medellin ,Rosales,Ceramica,1,54 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,"2
                                    Cada una con closet",4,54 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
